imageUrl,title,description,pageUrl,documentId
http://thingiverse-production-new.s3.amazonaws.com/renders/1c/fe/2a/72/b6/6b03dd35e8ffdfa3dbcd8c758f70f7c2_display_large.jpg,NEMA 17 adapter for Namiki DC Servo Motor,"This is a plate to adapt the high quality coreless namiki DC servo motors with encoders that can be found on ebay to mount with anything that will take a  NEMA 17 footprint. These can be used to implement closed loop control for systems that used to use steppers. The shaft diameter is a bit less than the standard NEMA 17 one, (4.5 instead of 5mm) but a piece of rubber tubing around it can be used if you need it to fit an existing mount.",http://www.thingiverse.com/thing:1698551,http://www.thingiverse.com/download:2640647
http://thingiverse-production-new.s3.amazonaws.com/renders/29/2a/0d/04/8b/d20043376067188504f3d3bef4c1875e_display_large.jpg,FlashForge Creator Pro extended bed levelling code,"This is an x3g file that can be used to check how level and flat your printing platform really is. It is meant for the FlashForge Creator Pro, but will probably work for similar printers as well.",http://www.thingiverse.com/thing:1698555,http://www.thingiverse.com/download:2640654
http://thingiverse-production-new.s3.amazonaws.com/renders/b9/1c/5e/ff/ef/bd875a698b06b80e703ab59a2acaa327_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/d5/6e/27/cc/4a/81e13a4ce2c93b7cf7bc5e8647646c50_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/44/a7/d0/2d/6c/a3cc8901e5163a742d36dd1b2ad73094_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/64/32/ff/c5/fe/eb0786fd8f6b9f72e0a7da6183cf8903_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/99/18/12/8c/e7/89952cb0ad4c17b958e98328a0f40abe_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/18/41/58/99/d0/e11dc7ccd061e7b2d01e9f6e492800ef_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/ba/d6/ab/0c/9e/ecaf217c98b68d81143b74116447c127_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/b1/f5/59/f6/1f/603c71f8dbca0769b7030f6f069549c7_display_large.jpg,Mojo SD Card Adapter,"This is a Chord Mojo SD Card Adapter, reads SDXC cards, works with Android (native Android support or USB Audio Player Pro), should work with Windows/MAC OS, technically it is only a usb hub and a card reader. Expand your smartphone/tablet memory with a cheap SD Card.",http://www.thingiverse.com/thing:1698550,"http://www.thingiverse.com/download:2640639, http://www.thingiverse.com/download:2640640, http://www.thingiverse.com/download:2640641, http://www.thingiverse.com/download:2640642, http://www.thingiverse.com/download:2640643, http://www.thingiverse.com/download:2640644, http://www.thingiverse.com/download:2640645"
http://thingiverse-production-new.s3.amazonaws.com/renders/37/f4/05/15/91/b9d12174cb0cc325ddf6a0db3bd5400e_display_large.jpg,Alpha 110 Case v2.0,habe die Fächer meiner ersten version erhöht damit beim transport nix rausfallen kann...,http://www.thingiverse.com/thing:1698553,"http://www.thingiverse.com/download:2640649, http://www.thingiverse.com/download:2640650"
http://thingiverse-production-new.s3.amazonaws.com/renders/19/fb/b4/bf/38/42fab7be41ebb6066645ab7eed08bf3c_display_large.jpg,Alpha 110 Case v2.0,habe die Fächer meiner ersten version erhöht damit beim transport nix rausfallen kann...,http://www.thingiverse.com/thing:1698553,"http://www.thingiverse.com/download:2640649, http://www.thingiverse.com/download:2640650"
http://thingiverse-production-new.s3.amazonaws.com/renders/d2/c3/b0/73/62/f3aadd365109f56d3123986034fd7423_display_large.jpg,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/24/15/ab/a6/f3/151e50a768bb72d8677b1ed3f6b700fd_display_large.JPG,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/e2/8f/a3/6d/34/b2339eb1053373032a1c9de1ae7af905_display_large.JPG,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/ad/5b/a4/4b/6d/418039907aa4a2345288f58a06e2a4a2_display_large.JPG,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/34/2c/40/22/88/d7306f2d0d3b08141b865b7206aec3ab_display_large.jpg,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/ee/b0/a7/d0/14/a1b3f20def13343e3338f3f6705674cc_display_large.jpg,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/a2/d2/ac/14/d3/ac9596fdd71c38b477d83cd0968d1e3e_display_large.jpg,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/f6/9f/7b/8d/30/4ecf2e66a58876b328626d77fc7085a9_display_large.jpg,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/a3/b6/d5/a0/48/6f61dea9b8403e5ba114e7a1df26e85d_display_large.jpg,Quick Start Shells for Gogoro EV key fob.,"These Gogoro Key fob shell give you a quick start via press almost anywhere on the shell instead of seeking the specific spot to do so.
There are 3 types I have made: 1. Necklace Biscuit, 2. Necklace Clam(hinged) 3. Weist Band for a watch belt set in 24mm width.
The screw cover to fix the key fob cover is a common for all types.
The key fob cover are common parts for type 1 and 3.",http://www.thingiverse.com/thing:1698540,"http://www.thingiverse.com/download:2640614, http://www.thingiverse.com/download:2640615, http://www.thingiverse.com/download:2640616, http://www.thingiverse.com/download:2640617, http://www.thingiverse.com/download:2640618"
http://thingiverse-production-new.s3.amazonaws.com/renders/5d/5a/49/7d/9e/056234d11fe6f7f0462d7782f8a9c0c0_display_large.JPG,Gardinenstangenclip Ersatzteil,"Ersatz für einen Gardinenstangenclip zur Befestigung von 10mm Stangen. Das Loch auf der Unterseite des Holzknauf ist 17.2mm.
Auf einer Seite des Fensters war der Clip für die Gardinenstangenbefestigung zerbrochen deshalb habe ich diesen mit FreeCad neu entworfen und ausgedruckt. Die CAD-Datei im FreeCad-Format habe ich beigefügt.
Zum Drucken habe ich normales PLA verwendet und 100% Füllung eingestellt. Der neue selbstgemachte Clip hält die Gardinenstange etwas strammer als das Originalteil",http://www.thingiverse.com/thing:1697941,"http://www.thingiverse.com/download:2639466, http://www.thingiverse.com/download:2640596"
http://thingiverse-production-new.s3.amazonaws.com/renders/66/31/a2/6b/11/de408f5d47720ed4dccd396c0e7da606_display_large.jpg,Gardinenstangenclip Ersatzteil,"Ersatz für einen Gardinenstangenclip zur Befestigung von 10mm Stangen. Das Loch auf der Unterseite des Holzknauf ist 17.2mm.
Auf einer Seite des Fensters war der Clip für die Gardinenstangenbefestigung zerbrochen deshalb habe ich diesen mit FreeCad neu entworfen und ausgedruckt. Die CAD-Datei im FreeCad-Format habe ich beigefügt.
Zum Drucken habe ich normales PLA verwendet und 100% Füllung eingestellt. Der neue selbstgemachte Clip hält die Gardinenstange etwas strammer als das Originalteil",http://www.thingiverse.com/thing:1697941,"http://www.thingiverse.com/download:2639466, http://www.thingiverse.com/download:2640596"
http://thingiverse-production-new.s3.amazonaws.com/renders/7a/fb/31/d9/5e/fc905f6bc7acc091c28adc93c35cbf6a_display_large.JPG,Gardinenstangenclip Ersatzteil,"Ersatz für einen Gardinenstangenclip zur Befestigung von 10mm Stangen. Das Loch auf der Unterseite des Holzknauf ist 17.2mm.
Auf einer Seite des Fensters war der Clip für die Gardinenstangenbefestigung zerbrochen deshalb habe ich diesen mit FreeCad neu entworfen und ausgedruckt. Die CAD-Datei im FreeCad-Format habe ich beigefügt.
Zum Drucken habe ich normales PLA verwendet und 100% Füllung eingestellt. Der neue selbstgemachte Clip hält die Gardinenstange etwas strammer als das Originalteil",http://www.thingiverse.com/thing:1697941,"http://www.thingiverse.com/download:2639466, http://www.thingiverse.com/download:2640596"
http://thingiverse-production-new.s3.amazonaws.com/renders/78/be/20/50/14/b0ec6be96c1d8eac41568d9a5db9a2b0_display_large.jpg,Shoe hanger,A simple shoe hanger.,http://www.thingiverse.com/thing:1698537,http://www.thingiverse.com/download:2640602
http://thingiverse-production-new.s3.amazonaws.com/renders/3d/eb/0e/b1/f1/c779c6bd8824080644acbde7f3e6a491_display_large.jpg,Shoe hanger,A simple shoe hanger.,http://www.thingiverse.com/thing:1698537,http://www.thingiverse.com/download:2640602
http://thingiverse-production-new.s3.amazonaws.com/renders/58/b7/31/cb/54/4b2ce5b0e427bb96b8b38c687f927e7f_display_large.jpg,MTB Bafang BBS01 internal chain support,MTB Bafang BBS01 internal chain support,http://www.thingiverse.com/thing:1698520,http://www.thingiverse.com/download:2640587
http://thingiverse-production-new.s3.amazonaws.com/renders/3f/9a/c3/b8/c4/526e4058731e2de8be0bee7a2f806185_display_large.jpg,MTB Bafang BBS01 internal chain support,MTB Bafang BBS01 internal chain support,http://www.thingiverse.com/thing:1698520,http://www.thingiverse.com/download:2640587
http://thingiverse-production-new.s3.amazonaws.com/renders/9c/ac/5f/84/49/79de7144022c915ad34a7cb4fdfa3c60_display_large.jpg,MTB Bafang BBS01 internal chain support,MTB Bafang BBS01 internal chain support,http://www.thingiverse.com/thing:1698520,http://www.thingiverse.com/download:2640587
http://thingiverse-production-new.s3.amazonaws.com/renders/3b/4e/e7/00/bc/381ce1785de28c9e7d751e987ef1bb93_display_large.jpg,MTB Bafang BBS01 internal chain support,MTB Bafang BBS01 internal chain support,http://www.thingiverse.com/thing:1698520,http://www.thingiverse.com/download:2640587
http://thingiverse-production-new.s3.amazonaws.com/renders/0b/24/1a/0a/f7/d664d2361903148044f6f00c5cc338ee_display_large.jpg,MTB Bafang BBS01 internal chain support,MTB Bafang BBS01 internal chain support,http://www.thingiverse.com/thing:1698520,http://www.thingiverse.com/download:2640587
http://thingiverse-production-new.s3.amazonaws.com/renders/33/86/ba/02/82/d664d2361903148044f6f00c5cc338ee_display_large.jpg,MTB Bafang BBS01 internal chain support,MTB Bafang BBS01 internal chain support,http://www.thingiverse.com/thing:1698520,http://www.thingiverse.com/download:2640587
